ArrSize,MergeSort,HeapSort,QuickSort,MergeCaseSorted,HeapCaseSorted,QuickCaseSorted
100,60220,9970,0,99710,9950,29960
200,89680,0,19950,99640,39990,49940
300,220790,49890,9870,69180,40110,109130
400,139440,69780,19950,189950,39990,209500
500,233350,89820,40850,219430,49840,249330
600,264920,115490,49800,219210,129600,427430
700,308150,159570,49750,259480,180040,549170
800,379140,90030,119200,322830,168950,717610
900,349090,219430,69820,369120,169490,887520
1000,458230,189130,79540,398470,229700,1078720
1100,458670,249430,79930,378980,279240,1216700
1200,529040,259830,79690,438970,313750,1512250
1300,528850,241150,119710,488460,268080,1685150
1400,578540,299190,109450,518690,378820,1925480
1500,638910,269240,129620,607980,269230,2233960
1600,584280,409040,39890,727670,265510,2578580
1700,668380,329160,159560,618190,408900,2772500
1800,769270,364610,177130,691460,418530,3225080
1900,833210,338940,139690,738450,498440,3550400
2000,834210,378370,199690,700040,528620,3929210
2100,887930,418870,179490,798260,488270,4253470
2200,883970,478290,179520,827160,538480,4704070
2300,968380,503760,240230,816200,638620,5119270
2400,977610,548490,169520,873070,648940,5504200
2500,1057400,508560,179470,907500,658260,6043990
2600,1047470,578390,249300,918450,647360,6517480
2700,1236820,498490,169540,993040,717510,7111060
2800,1128190,618240,238480,997350,757980,7580090
2900,1262930,614900,279270,1044680,720840,8375180
3000,1389450,709910,229330,1289640,642290,8791400
3100,1526990,513460,429530,1216260,767480,9373550
3200,1363410,784570,259420,1213830,788040,10110610
3300,1406780,727750,299320,1256860,867790,10758210
3400,1456710,763570,299380,1296150,934290,11512250
3500,1476350,797550,289280,1366340,927500,12114970
3600,1534830,802910,312950,1369570,1002390,12893730
3700,1615200,857780,329640,1412830,986650,13551380
3800,1605680,867580,338840,1526560,1017880,14299030
3900,1654350,868600,409090,1466470,1048160,15043970
4000,1695190,889060,435010,1485380,1079590,15913030
4100,1588790,1196300,338860,1226770,1431430,16517890
4200,1800900,951750,430660,1571630,1159060,17405940
4300,1885520,977610,438560,1635430,1176500,18273360
4400,1893940,983630,490540,1600160,1207250,19123670
4500,1961010,1007040,449070,1750730,1197460,19997330
4600,1970550,1016720,468770,1761850,1216430,20968470
4700,2050840,1086680,478740,1741650,1315420,21843430
4800,2101670,1007020,518490,1580780,1332390,22338150
4900,2197090,1163450,884330,1921670,1243250,24103750
5000,2259980,1117390,538260,1976280,1415810,25086070
5100,2214500,1176850,515040,1904820,1441540,25475040
5200,2275220,1156690,568910,1961320,1454990,26676640
5300,2306410,1253230,547890,1996420,1488000,27879530
5400,2306050,1293590,595890,1970530,1522860,28833400
5500,2418730,1332560,528130,2100220,1612320,29986210
5600,2473690,1282060,608280,2114990,1585590,30938270
5700,2505080,1362080,563720,2169570,1557760,32199720
5800,2533200,1405450,568570,2283840,1595720,33338770
5900,2767910,1207020,528680,2120960,1917950,33840230
6000,2574850,1456450,609060,2315030,1728520,35519280
6100,2658410,1427140,658330,2320380,1784410,36712690
6200,2708650,1462150,614000,2369530,1774640,37771540
6300,2779700,1532930,595200,2469540,1810320,39228960
6400,2907040,1518210,677840,2412160,1821110,40237170
6500,2909880,1600630,665700,2607530,1911910,43137230
6600,2942520,1625790,708170,2573050,1989460,43984430
6700,3030860,1612720,623890,2556450,1990940,44225500
6800,2881950,1584970,737980,2463680,1925840,44276890
6900,3001230,1606300,733680,2652630,2020260,46865530
7000,3032880,1694710,638460,2735160,2059850,48587900
7100,3170040,1695990,668130,2679670,2120910,49423850
7200,3038760,1736330,733780,2692520,2069460,49897260
7300,3191300,1745770,787320,2743650,2203770,52528060
7400,3701400,1605760,693560,2652690,2044000,53271940
7500,3371070,1752300,794210,2949820,2185940,55817250
7600,3467400,1884790,774570,2971030,2288840,58624880
7700,3329880,1740500,829410,3142370,2100480,58651470
7800,3322570,1930780,847830,2957760,2220080,59673970
7900,3555880,1901790,867750,3063700,2356160,61827130
8000,3596390,1870670,798610,3068690,2168970,62813490
8100,3550640,1985260,897100,3087720,2363620,64785140
8200,3506510,2346220,1041190,3114000,2279240,65925450
8300,3904770,2114160,873200,3320290,2448790,70950930
8400,3978920,2222380,1028840,3560000,2692720,76323140
8500,4048020,2291310,918160,3880980,2585540,77454160
8600,4068450,2223950,948010,3560280,2721420,77446780
8700,4235020,2420730,967220,3666460,2912300,81312610
8800,4288290,2423370,1007460,3799680,3012180,84384740
8900,4587060,2632210,1067960,4438910,3170990,94021070
9000,4996870,2772620,1147010,4288550,3390050,97355660
9100,4687950,2709450,1117060,4607380,3331140,99264210
9200,4852860,2782440,1207350,4630760,3616270,103622570
9300,4432740,2608170,1096470,3935030,3137650,92158440
9400,4039840,2311050,927300,3648520,2826720,87086570
9500,4195790,2370060,1003680,3631550,3003660,89229160
9600,4191660,2555110,1003270,3741390,2902200,92002400
9700,4298610,2494030,1086900,3735470,3028260,95607130
9800,4251700,2501850,1027480,3934290,2973680,94961120
9900,4313680,2504110,1016670,3746400,3017310,95553540
